MB2025_V1_00,General_Electoral_Population,Māori_Electoral_Population
0000100,-999,6
0000200,24,72
0000300,18,99
0000400,9,9
0000501,-999,-999
0000502,9,24
0000600,18,39
0000700,12,54
0000800,45,135
0000900,12,27
0001000,33,87
0001100,90,63
0001201,78,18
0001202,-999,-999
0001400,51,15
0001500,-999,27
0001600,-999,-999
0001700,-999,-999
0001800,84,39
0001900,54,12
0002000,48,15
0002100,-999,-999
0002301,36,39
0002302,12,9
0002303,54,30
0002304,72,24
0002305,21,9
0002306,6,6
0002400,81,57
0002500,-999,-999
0002605,60,57
0002608,30,12
0002700,165,84
0002800,81,6
0002900,135,27
0003000,66,18
0003100,42,54
0003200,174,57
0003400,57,39
0003501,18,-999
0003502,33,6
0003503,27,12
0003504,21,-999
0003505,-999,-999
0003506,9,21
0003600,60,42
0003701,33,9
0003702,51,12
0004104,69,9
0004105,63,9
0004106,42,-999
0004107,93,12
0004108,51,15
0004201,21,6
0004202,27,-999
0004203,36,15
0004204,24,30
0004205,9,-999
0004206,108,24
0004207,114,6
0004208,48,21
0004209,21,-999
0004210,48,-999
0004501,33,9
0004502,12,-999
0004600,27,-999
0004700,18,18
0004800,27,24
0005000,48,48
0005201,75,15
0005202,12,-999
0005300,-999,-999
0005400,18,-999
0005800,9,-999
0005900,93,57
0006000,24,24
0006100,36,12
0006200,39,-999
0006300,66,105
0006400,36,-999
0006500,87,36
0006600,159,54
0006700,147,63
0006800,63,36
0006900,123,36
0007000,45,9
0007101,-999,-999
0007102,9,12
0007201,18,33
0007202,36,27
0007300,51,57
0007400,45,27
0007500,45,27
0007600,75,51
0007700,33,12
0007801,18,27
0007802,-999,-999
0007900,120,141
0008000,-999,9
0008100,24,9
0008200,54,51
0008301,105,42
0008302,6,-999
0008401,48,12
0008403,-999,-999
0008404,30,39
0008501,39,9
0008502,63,75
0008600,90,39
0008700,36,18
0008800,33,36
0008901,-999,-999
0008902,15,81
0009001,27,24
0009002,-999,-999
0009102,33,39
0009103,24,9
0009200,54,9
0009300,75,30
0009400,117,36
0009500,18,27
0009600,6,24
0009700,57,84
0009800,-999,-999
0009900,6,6
0010005,36,21
0010006,30,12
0010007,21,24
0010008,30,27
0010009,21,18
0010010,18,18
0010011,27,60
0010012,18,42
0010013,21,6
0010014,12,6
0010101,84,69
0010102,42,72
0010200,69,18
0010300,6,-999
0010400,57,24
0010500,6,9
0010800,-999,12
0010900,42,66
0011000,30,39
0011100,27,27
0011200,-999,-999
0011300,39,75
0011400,27,18
0011500,-999,-999
0011600,-999,9
0011700,27,27
0011800,18,21
0011900,24,30
0012000,12,6
0012101,-999,-999
0012102,6,12
0012103,18,42
0012200,9,30
0012300,21,15
0012400,57,57
0012500,39,45
0012601,21,9
0012602,12,9
0012701,57,27
0012702,27,51
0012800,18,9
0012902,24,18
0013000,78,126
0013204,30,27
0013205,42,96
0013206,54,165
0013207,36,78
0013400,99,108
0013500,-999,-999
0013600,21,36
0013700,66,75
0013800,-999,-999
0013900,51,63
0014000,-999,-999
0014100,18,-999
0014200,9,24
0014300,72,75
0014500,6,9
0014600,-999,-999
0014700,45,24
0014800,12,-999
0014900,102,51
0015000,69,27
0015100,66,39
0015200,39,45
0015401,6,6
0015600,57,108
0015700,57,36
0015800,30,78
0015900,30,60
0016000,33,36
0016100,-999,9
0016200,33,54
0016300,78,72
0016400,-999,9
0016500,15,-999
0016600,39,63
